canonical_id,display_artist,display_title,best_year,segment_band,station_show,most_recent_play_ts,spotify_album_type,breach_reason
2958,Lynyrd Skynrd,Call Me The Breeze,1988.0,1971-1977,10 @ 10,2026-04-17 10:09:00,compilation,oob_segment_track
1571,Vance Joy,Fascination In The Dark,2025.0,1979-1985,10 @ 10,2026-02-20 22:57:00,single,oob_segment_track
783,Kings Of Leon,To Space,2025.0,1979-1985,10 @ 10,2026-02-16 22:44:00,single,oob_segment_track
1281,Royel Otis,Who's Your Boyfriend,2025.0,1977-1983,10 @ 10,2026-02-16 10:47:00,album,oob_segment_track
157,The Black Keys,You Got To Lose,2026.0,1994-2000,10 @ 10,2026-04-03 10:55:00,single,oob_segment_track
1387,Stephen Sanchez,Sweet Love,2026.0,1985-1991,10 @ 10,2026-03-09 10:56:00,single,oob_segment_track
939,Mon Rovia,Heavy Foot,2025.0,1994-2000,10 @ 10 Weekend Replay,2026-04-05 20:53:00,single,oob_segment_track
1342,Snocaps,Heathcliff,2025.0,1985-1991,10 @ 10 Weekend Replay,2026-03-01 19:52:00,album,oob_segment_track
2788,The Guess Who,American Woman,1965.0,1967-1973,10 @ 10; 10 @ 10 Weekend Replay,2026-04-12 18:09:00,album,oob_segment_track
1624,Who,I'm Free,1969.0,1971-1977,10 @ 10; 10 @ 10 Weekend Replay,2026-03-15 17:36:00,album,oob_segment_track
1348,Solomon Burke,Got To Get You Off My Mind,1992.0,1961-1967,10 @ 10; 10 @ 10 Weekend Replay,2026-03-22 18:23:00,album,oob_segment_track
225,Bruce Springsteen,Devils & Dust,2005.0,1976-1982,10 @ 10; 10 @ 10 Weekend Replay,2026-02-15 18:39:00,album,oob_segment_track
2034,Tony Carey & Planet P Project,"A Fine, Fine Day",2015.0,1980-1986; 1983-1989,10 @ 10; 10 @ 10 Weekend Replay,2026-03-08 19:40:00,album,oob_segment_track
246,Buffalo Traffic Jam,Fool's Gold,2025.0,1964-1970; 1990-1996,10 @ 10; 10 @ 10 Weekend Replay,2026-03-29 18:49:00,single,oob_segment_track
2256,Pixies,Bone Machine (2007 Remaster),1988.0,1989-2000,90's at Night,2026-03-14 20:14:00,album,year_oob
698,Jane's Addiction,Jane Says,1988.0,1989-2000,90's at Night,2026-03-07 21:59:00,album,year_oob
1881,Sonic Youth,Teen Age Riot,1988.0,1989-2000,90's at Night,2026-02-28 20:27:00,album,year_oob
1071,Pearl Jam,Gone,2005.0,1989-2000,90's at Night,2026-02-21 20:22:00,album,year_oob
1000,Nine Inch Nails,The Lovers,2017.0,1989-2000,90's at Night,2026-02-21 20:17:00,single,year_oob
2593,Ugly Kid Joe,Everything's Changing,2022.0,1989-2000,90's at Night,2026-03-28 20:41:00,album,year_oob
2909,Thee Sacred Souls,Anybody's Fool,,2023-2029,This Just In with Meg White,2026-04-16 21:15:00,,oob_segment_track
2882,Futurebirds,Fly On,,2023-2029,This Just In with Meg White,2026-04-13 21:29:00,,oob_segment_track
471,Edie Brickell & New Bohemians,What I Am,1988.0,2021-2027,This Just In with Meg White,2026-03-30 21:54:00,album,oob_segment_track
327,Collective Soul,The World I Know,1995.0,2022-2028,This Just In with Meg White,2026-02-13 21:54:00,album,oob_segment_track
331,The Corrs,Dreams,1998.0,2022-2028,This Just In with Meg White,2026-02-16 21:51:00,album,oob_segment_track
1677,Blonde Diamond,Feel Alright,2016.0,2023-2029,This Just In with Meg White,2026-02-23 21:36:00,single,oob_segment_track
